step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
12,60.0,1,SERVICE,,-20.0,120.0,50.0,0.242,0.104,0.017,-0.869,-0.372,-0.062,92.619,43.121,0,MESH,0.0,0.0,-1.0,0.36,2,0,moved=1.3m; priority cell searched; queued=0.180MB; dropped=0.000MB
12,60.0,2,FLY_AND_INFER,R6,37.846,7.521,45.341,-1.108,-4.874,-0.133,0.0,0.0,0.0,92.934,42.056,0,MESH,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
13,65.0,0,SERVICE,,95.0,-55.0,38.0,0.4,-0.5,0.03,0.08,-0.1,0.006,93.877,42.161,1,MESH,307.2,0.88,129.8,0.18,1,0,moved=3.2m; priority cell searched; queued=0.180MB; dropped=0.000MB
13,65.0,1,ASSIGN,R4,-20.0,120.0,50.0,0.0,0.0,0.0,-0.048,-0.021,-0.003,92.619,42.266,0,MESH,0.0,0.0,-1.0,0.36,2,0,ground intent accepted; local feasibility passed
13,65.0,2,FLY_AND_INFER,R6,32.307,-16.849,44.677,-1.108,-4.874,-0.133,0.0,0.0,0.0,91.329,42.354,1,MESH,268.8,0.88,169.4,0.0,0,0,moved=25.0m; local obstacle/risk inference
14,70.0,0,ASSIGN,R7,95.0,-55.0,38.0,0.0,0.0,0.0,-0.08,0.1,-0.006,93.877,41.422,0,MESH,0.0,0.0,-1.0,0.18,1,0,ground intent accepted; local feasibility passed
14,70.0,1,FLY_AND_INFER,R4,1.607,107.535,48.338,4.321,-2.493,-0.332,0.864,-0.499,-0.066,91.014,42.539,0,MESH,0.0,0.0,-1.0,0.36,2,0,moved=25.0m; local obstacle/risk inference
14,70.0,2,FLY_AND_INFER,R6,26.769,-41.218,44.012,-1.108,-4.874,-0.133,0.0,0.0,0.0,89.724,42.617,1,MESH,211.2,0.855,110.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
15,75.0,0,FLY_AND_INFER,R7,70.011,-55.641,37.616,-4.998,-0.128,-0.077,-1.0,-0.026,-0.015,92.272,41.796,0,MESH,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; local obstacle/risk inference
15,75.0,1,FLY_AND_INFER,R4,23.213,95.069,46.676,4.321,-2.493,-0.332,-0.0,0.0,0.0,89.409,42.78,1,MESH,211.2,0.855,110.0,0.36,2,0,moved=25.0m; local obstacle/risk inference
15,75.0,2,FLY_AND_INFER,R6,21.23,-65.588,43.348,-1.108,-4.874,-0.133,0.0,0.0,0.0,88.119,42.848,1,MESH,307.2,0.88,129.8,0.0,0,0,moved=25.0m; local obstacle/risk inference
16,80.0,0,FLY_AND_INFER,R7,45.022,-56.281,37.231,-4.998,-0.128,-0.077,0.0,0.0,0.0,90.667,42.126,0,MESH,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; local obstacle/risk inference
16,80.0,1,DEFER_UPLOAD,R4,23.213,95.069,46.676,0.0,0.0,0.0,-0.864,0.499,0.066,89.409,41.966,1,MESH,307.2,0.88,129.8,0.36,2,0,link available but full result misses this slot
16,80.0,2,FLY_AND_INFER,R6,15.691,-89.958,42.683,-1.108,-4.874,-0.133,0.0,0.0,-0.0,86.514,43.051,1,MESH,384.0,0.88,149.6,0.0,0,0,moved=25.0m; local obstacle/risk inference
17,85.0,0,FLY_AND_INFER,R7,20.034,-56.922,36.847,-4.998,-0.128,-0.077,-0.0,0.0,-0.0,89.062,42.416,1,MESH,307.2,0.88,129.8,0.18,1,0,moved=25.0m; local obstacle/risk inference
17,85.0,1,FLY_AND_INFER,R4,44.82,82.604,45.014,4.321,-2.493,-0.332,0.864,-0.499,-0.066,87.804,42.275,1,MESH,384.0,0.88,149.6,0.36,2,0,moved=25.0m; local obstacle/risk inference
17,85.0,2,FLY_AND_INFER,R6,10.153,-114.327,42.018,-1.108,-4.874,-0.133,0.0,0.0,0.0,84.909,43.23,1,MESH,268.8,0.88,169.4,0.0,0,0,moved=25.0m; local obstacle/risk inference
18,90.0,0,FLY_AND_INFER,R7,-4.955,-57.563,36.462,-4.998,-0.128,-0.077,0.0,0.0,0.0,87.457,42.671,1,MESH,384.0,0.88,149.6,0.18,1,0,moved=25.0m; local obstacle/risk inference
18,90.0,1,FLY_AND_INFER,R4,66.427,70.138,43.352,4.321,-2.493,-0.332,0.0,0.0,0.0,86.199,42.547,1,MESH,268.8,0.88,169.4,0.36,2,0,moved=25.0m; local obstacle/risk inference
18,90.0,2,SERVICE,,10.0,-115.0,42.0,-0.031,-0.135,-0.004,0.215,0.948,0.026,82.967,44.38,1,MESH,211.2,0.855,110.0,0.18,1,0,moved=0.7m; priority cell searched; queued=0.180MB; dropped=0.000MB
19,95.0,0,FLY_AND_INFER,R7,-29.944,-58.204,36.078,-4.998,-0.128,-0.077,0.0,-0.0,-0.0,85.852,42.895,1,MESH,268.8,0.88,169.4,0.18,1,0,moved=25.0m; local obstacle/risk inference
19,95.0,1,FLY_AND_INFER,R4,88.034,57.673,41.69,4.321,-2.493,-0.332,-0.0,0.0,-0.0,84.594,42.786,1,MESH,211.2,0.855,110.0,0.36,2,0,moved=25.0m; local obstacle/risk inference
19,95.0,2,STORE_AND_WAIT,,10.0,-115.0,42.0,0.0,0.0,0.0,0.006,0.027,0.001,82.967,43.374,0,MESH,0.0,0.0,-1.0,0.18,1,0,result retained onboard
20,100.0,0,DEFER_UPLOAD,R7,-29.944,-58.204,36.078,0.0,0.0,0.0,1.0,0.026,0.015,85.852,42.068,1,MESH,211.2,0.855,110.0,0.18,1,0,link available but full result misses this slot
20,100.0,1,COMMUNICATE,R4,88.034,57.673,41.69,0.0,0.0,0.0,-0.864,0.499,0.066,84.342,41.972,1,MESH,307.2,0.88,129.8,0.18,1,0,uploaded_results=1; uploaded=0.040MB; mode=metadata_only; latency=129.8ms
20,100.0,2,STORE_AND_WAIT,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.967,42.489,0,MESH,0.0,0.0,-1.0,0.18,1,0,result retained onboard
21,105.0,0,FLY_AND_INFER,R7,-54.933,-58.844,35.693,-4.998,-0.128,-0.077,-1.0,-0.026,-0.015,84.247,42.365,1,MESH,307.2,0.88,129.8,0.18,1,0,moved=25.0m; local obstacle/risk inference
21,105.0,1,SERVICE,,109.64,45.207,40.028,4.321,-2.493,-0.332,0.864,-0.499,-0.066,81.017,43.88,0,MESH,0.0,0.0,-1.0,0.36,2,0,moved=25.0m; priority cell searched; queued=0.180MB; dropped=0.000MB
21,105.0,2,STORE_AND_WAIT,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.967,41.71,0,MESH,0.0,0.0,-1.0,0.18,1,0,result retained onboard
22,110.0,0,FLY_AND_INFER,R7,-79.922,-59.485,35.309,-4.998,-0.128,-0.077,-0.0,-0.0,-0.0,82.642,42.626,1,MESH,384.0,0.88,149.6,0.18,1,0,moved=25.0m; local obstacle/risk inference
22,110.0,1,STORE_AND_WAIT,,109.64,45.207,40.028,0.0,0.0,0.0,-0.864,0.499,0.066,81.017,42.935,0,MESH,0.0,0.0,-1.0,0.36,2,0,result retained onboard
22,110.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.967,41.025,1,MESH,211.2,0.855,110.0,0.18,1,0,no feasible released task
23,115.0,0,SERVICE,,-100.0,-60.0,35.0,-4.016,-0.103,-0.062,0.196,0.005,0.003,79.667,44.333,0,MESH,0.0,0.0,-1.0,0.36,2,0,moved=20.1m; priority cell searched; queued=0.180MB; dropped=0.000MB
23,115.0,1,LOCAL_UPDATE,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,45.103,0,MESH,0.0,0.0,-1.0,0.36,2,1,small task head updated
23,115.0,2,HOLD,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.967,40.422,1,MESH,307.2,0.88,129.8,0.18,1,0,no feasible released task
24,120.0,0,STORE_AND_WAIT,,-100.0,-60.0,35.0,0.0,0.0,0.0,0.803,0.021,0.012,79.667,43.333,0,MESH,0.0,0.0,-1.0,0.36,2,0,result retained onboard
24,120.0,1,DEFER_UPLOAD,,109.64,45.207,40.028,0.0,0.0,0.0,-0.0,-0.0,-0.0,80.117,44.01,1,MESH,307.2,0.88,129.8,0.36,2,1,link available but full result misses this slot
24,120.0,2,COMMUNICATE,,10.0,-115.0,42.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,82.708,39.892,1,MESH,384.0,0.88,149.6,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=149.6ms
