step,time_s,drone_id,action,task_id,x,y,z,vx,vy,vz,ax,ay,az,battery_wh,temperature_c,link_up,link_type,bandwidth_kbps,pdr,latency_ms,storage_mb,pending_results,model_version,note
13,65.0,0,RETURN,,1.25,3.334,17.502,-0.35,-0.933,-4.9,-0.07,-0.027,-0.98,88.895,34.988,1,5G,960.0,0.96,53.1,0.18,1,0,moved=25.0m; safe return
13,65.0,1,FLY_AND_INFER,L4,-63.161,31.581,25.265,-4.211,2.105,1.684,0.0,0.0,0.0,104.285,35.351,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; local obstacle/risk inference
13,65.0,2,ASSIGN,L2,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,33.391,1,5G,840.0,0.96,69.3,0.18,1,0,ground intent accepted; local feasibility passed
14,70.0,0,RETURN,,0.0,0.0,0.0,-0.25,-0.667,-3.5,0.02,0.053,0.28,87.805,34.836,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=17.9m; safe return
14,70.0,1,SERVICE,,-70.0,35.0,28.0,-1.368,0.684,0.547,0.569,-0.284,-0.227,101.892,36.912,0,5G,0.0,0.0,-1.0,0.36,2,0,moved=8.1m; parcel delivered; queued=0.180MB; dropped=0.000MB
14,70.0,2,FLY_AND_INFER,L2,22.815,-4.026,9.394,4.563,-0.805,1.879,0.913,-0.161,0.376,108.155,34.009,1,5G,660.0,0.935,45.0,0.18,1,0,moved=25.0m; local obstacle/risk inference
15,75.0,0,TURNAROUND,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.133,0.7,110.0,34.256,0,5G,0.0,0.0,-1.0,0.18,1,0,battery/tank serviced at depot
15,75.0,1,RETURN,,-48.946,24.473,19.578,4.211,-2.105,-1.684,1.116,-0.558,-0.446,100.367,36.707,1,5G,660.0,0.935,45.0,0.36,2,0,moved=25.0m; safe return
15,75.0,2,FLY_AND_INFER,L2,45.63,-8.052,18.789,4.563,-0.805,1.879,0.0,0.0,0.0,106.31,34.553,1,5G,960.0,0.96,53.1,0.18,1,0,moved=25.0m; local obstacle/risk inference
16,80.0,0,ASSIGN,L6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,33.745,0,5G,0.0,0.0,-1.0,0.18,1,0,ground intent accepted; local feasibility passed
16,80.0,1,RETURN,,-27.892,13.946,11.157,4.211,-2.105,-1.684,0.0,0.0,0.0,98.842,36.527,1,5G,960.0,0.96,53.1,0.36,2,0,moved=25.0m; safe return
16,80.0,2,COMMUNICATE,L2,45.63,-8.052,18.789,0.0,0.0,0.0,-0.913,0.161,-0.376,106.051,34.007,1,5G,1200.0,0.96,61.2,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=61.2ms
17,85.0,0,FLY_AND_INFER,L6,1.926,5.135,24.391,0.385,1.027,4.878,0.077,0.205,0.976,108.215,34.32,1,5G,960.0,0.96,53.1,0.18,1,0,moved=25.0m; local obstacle/risk inference
17,85.0,1,RETURN,,-6.839,3.419,2.735,4.211,-2.105,-1.684,-0.0,0.0,-0.0,97.317,36.369,1,5G,1200.0,0.96,61.2,0.36,2,0,moved=25.0m; safe return
17,85.0,2,FLY_AND_INFER,L2,68.446,-12.079,28.183,4.563,-0.805,1.879,0.913,-0.161,0.376,104.206,34.551,1,5G,840.0,0.96,69.3,0.0,0,0,moved=25.0m; local obstacle/risk inference
18,90.0,0,FLY_AND_INFER,L6,3.0,8.0,38.0,0.215,0.573,2.722,-0.034,-0.091,-0.431,107.184,34.551,1,5G,1200.0,0.96,61.2,0.18,1,0,moved=13.9m; local obstacle/risk inference
18,90.0,1,RETURN,,0.0,0.0,-0.0,1.368,-0.684,-0.547,-0.569,0.284,0.227,96.822,35.808,1,5G,840.0,0.96,69.3,0.36,2,0,moved=8.1m; safe return
18,90.0,2,SERVICE,,85.0,-15.0,35.0,3.311,-0.584,1.363,-0.25,0.044,-0.103,101.175,36.458,1,5G,660.0,0.935,45.0,0.18,1,0,moved=18.1m; parcel delivered; queued=0.180MB; dropped=0.000MB
19,95.0,0,FLY_AND_INFER,L6,28.0,8.0,38.0,5.0,0.0,0.0,0.957,-0.115,-0.544,105.399,35.03,1,5G,840.0,0.96,69.3,0.18,1,0,moved=25.0m; local obstacle/risk inference
19,95.0,1,TURNAROUND,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.274,0.137,0.109,110.0,35.111,1,5G,660.0,0.935,45.0,0.36,2,0,battery/tank serviced at depot
19,95.0,2,RETURN,,62.185,-10.974,25.606,-4.563,0.805,-1.879,-1.575,0.278,-0.648,99.65,36.308,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; safe return
20,100.0,0,COMMUNICATE,L6,28.0,8.0,38.0,0.0,0.0,0.0,-1.0,-0.0,-0.0,105.14,34.426,1,5G,660.0,0.935,45.0,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=45.0ms
20,100.0,1,COMMUNICATE,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,34.498,1,5G,960.0,0.96,53.1,0.0,0,0,uploaded_results=2; uploaded=0.360MB; mode=full_result; latency=53.1ms
20,100.0,2,RETURN,,39.37,-6.948,16.211,-4.563,0.805,-1.879,0.0,0.0,0.0,98.125,36.176,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; safe return
21,105.0,0,FLY_AND_INFER,L6,42.0,8.0,38.0,2.8,0.0,0.0,0.56,0.0,0.0,104.105,34.645,1,5G,960.0,0.96,53.1,0.0,0,0,moved=14.0m; local obstacle/risk inference
21,105.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,33.958,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
21,105.0,2,RETURN,,16.554,-2.921,6.817,-4.563,0.805,-1.879,-0.0,0.0,0.0,96.6,36.06,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; safe return
22,110.0,0,FLY_AND_INFER,L6,59.079,26.257,38.0,3.416,3.651,0.0,0.123,0.73,0.0,102.32,35.113,1,5G,1200.0,0.96,61.2,0.0,0,0,moved=25.0m; local obstacle/risk inference
22,110.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,33.483,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
22,110.0,2,RETURN,,0.0,0.0,0.0,-3.311,0.584,-1.363,0.25,-0.044,0.103,95.494,35.787,1,5G,660.0,0.935,45.0,0.18,1,0,moved=18.1m; safe return
23,115.0,0,FLY_AND_INFER,L6,76.158,44.514,38.0,3.416,3.651,0.0,0.0,0.0,0.0,100.535,35.524,0,5G,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
23,115.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,33.065,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
23,115.0,2,TURNAROUND,,0.0,0.0,0.0,0.0,0.0,0.0,0.662,-0.117,0.273,110.0,35.092,1,5G,960.0,0.96,53.1,0.18,1,0,battery/tank serviced at depot
24,120.0,0,FLY_AND_INFER,L6,93.237,62.77,38.0,3.416,3.651,0.0,-0.0,0.0,0.0,98.75,35.886,0,5G,0.0,0.0,-1.0,0.0,0,0,moved=25.0m; local obstacle/risk inference
24,120.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,32.697,1,5G,960.0,0.96,53.1,0.0,0,0,no feasible released task
24,120.0,2,COMMUNICATE,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,34.481,1,5G,1200.0,0.96,61.2,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=61.2ms
25,125.0,0,SERVICE,,100.0,70.0,38.0,1.353,1.446,0.0,-0.413,-0.441,0.0,96.375,37.427,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=9.9m; parcel delivered; queued=0.180MB; dropped=0.000MB
25,125.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,32.373,1,5G,1200.0,0.96,61.2,0.0,0,0,no feasible released task
25,125.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,33.943,1,5G,840.0,0.96,69.3,0.0,0,0,no feasible released task
26,130.0,0,RETURN,,82.921,51.743,38.0,-3.416,-3.651,0.0,-0.954,-1.019,0.0,94.85,37.161,1,5G,1200.0,0.96,61.2,0.18,1,0,moved=25.0m; safe return
26,130.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,32.089,1,5G,840.0,0.96,69.3,0.0,0,0,no feasible released task
26,130.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,33.47,1,5G,660.0,0.935,45.0,0.0,0,0,no feasible released task
27,135.0,0,RETURN,,65.842,33.486,38.0,-3.416,-3.651,0.0,0.0,0.0,0.0,93.325,36.927,1,5G,840.0,0.96,69.3,0.18,1,0,moved=25.0m; safe return
27,135.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,31.838,1,5G,660.0,0.935,45.0,0.0,0,0,no feasible released task
27,135.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,33.054,1,5G,960.0,0.96,53.1,0.0,0,0,no feasible released task
28,140.0,0,RETURN,,48.763,15.23,38.0,-3.416,-3.651,0.0,0.0,-0.0,0.0,91.8,36.721,1,5G,660.0,0.935,45.0,0.18,1,0,moved=25.0m; safe return
28,140.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,31.617,1,5G,960.0,0.96,53.1,0.0,0,0,no feasible released task
28,140.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,32.687,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
29,145.0,0,RETURN,,42.0,8.0,38.0,-1.353,-1.446,0.0,0.413,0.441,0.0,91.196,36.162,1,5G,960.0,0.96,53.1,0.18,1,0,moved=9.9m; safe return
29,145.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,31.423,1,5G,1200.0,0.96,61.2,0.0,0,0,no feasible released task
29,145.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,32.365,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
30,150.0,0,RETURN,,17.0,8.0,38.0,-5.0,0.0,0.0,-0.729,0.289,0.0,89.671,36.047,1,5G,1200.0,0.96,61.2,0.18,1,0,moved=25.0m; safe return
30,150.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,31.253,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
30,150.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,32.081,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
31,155.0,0,RETURN,,3.0,8.0,38.0,-2.8,0.0,0.0,0.44,0.0,0.0,88.817,35.672,1,5G,840.0,0.96,69.3,0.18,1,0,moved=14.0m; safe return
31,155.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,31.102,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
31,155.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,31.831,1,5G,960.0,0.96,53.1,0.0,0,0,no feasible released task
32,160.0,0,RETURN,,1.074,2.865,13.609,-0.385,-1.027,-4.878,0.483,-0.205,-0.976,87.292,35.616,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=25.0m; safe return
32,160.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,30.97,0,5G,0.0,0.0,-1.0,0.0,0,0,no feasible released task
32,160.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,31.612,1,5G,1200.0,0.96,61.2,0.0,0,0,no feasible released task
33,165.0,0,RETURN,,0.0,0.0,0.0,-0.215,-0.573,-2.722,0.034,0.091,0.431,86.441,35.291,0,5G,0.0,0.0,-1.0,0.18,1,0,moved=13.9m; safe return
33,165.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,30.854,1,5G,1200.0,0.96,61.2,0.0,0,0,no feasible released task
33,165.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,31.418,1,5G,840.0,0.96,69.3,0.0,0,0,no feasible released task
34,170.0,0,TURNAROUND,,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.115,0.544,110.0,34.656,0,5G,0.0,0.0,-1.0,0.18,1,0,battery/tank serviced at depot
34,170.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,30.751,1,5G,840.0,0.96,69.3,0.0,0,0,no feasible released task
34,170.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,31.248,1,5G,660.0,0.935,45.0,0.0,0,0,no feasible released task
35,175.0,0,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,110.0,34.097,1,5G,840.0,0.96,69.3,0.18,1,0,no feasible released task
35,175.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,30.661,1,5G,660.0,0.935,45.0,0.0,0,0,no feasible released task
35,175.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,31.098,1,5G,960.0,0.96,53.1,0.0,0,0,no feasible released task
36,180.0,0,COMMUNICATE,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,33.605,1,5G,660.0,0.935,45.0,0.0,0,0,uploaded_results=1; uploaded=0.180MB; mode=full_result; latency=45.0ms
36,180.0,1,HOLD,,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.732,30.582,1,5G,960.0,0.96,53.1,0.0,0,0,no feasible released task
36,180.0,2,HOLD,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,109.741,30.966,1,5G,1200.0,0.96,61.2,0.0,0,0,no feasible released task
